// 71037-2	Minifigure, Series 24 (Complete Series of 12 Complete Minifigure Sets)
col24-1	col24 Football Referee, Series 24
col24-12	col24 Newspaper Kid, Series 24
col24-11	col24 Rockin' Horse Rider, Series 24
col24-10	col24 Rococo Aristocrat, Series 24
col24-9	col24 Potter, Series 24
col24-8	col24 Conservationist, Series 24
col24-7	col24 Orc, Series 24
col24-6	col24 T-Rex Costume Fan, Series 24
col24-5	col24 Falconer, Series 24
col24-4	col24 Carrot Mascot, Series 24
col24-3	col24 Brown Astronaut and Spacebaby, Series 24
col24-2	col24 Robot Warrior, Series 24
col24-3	col24 Brown Astronaut and Spacebaby, Series 24	#MISSING
col24-4	col24 Carrot Mascot, Series 24	#MISSING
col24-8	col24 Conservationist, Series 24	#MISSING
col24-5	col24 Falconer, Series 24	#MISSING
col24-1	col24 Football Referee, Series 24	#MISSING
col24-12	col24 Newspaper Kid, Series 24	#MISSING
col24-7	col24 Orc, Series 24	#MISSING
col24-9	col24 Potter, Series 24	#MISSING
col24-2	col24 Robot Warrior, Series 24	#MISSING
col24-11	col24 Rockin' Horse Rider, Series 24	#MISSING
col24-10	col24 Rococo Aristocrat, Series 24	#MISSING
col24-6	col24 T-Rex Costume Fan, Series 24	#MISSING

// 71034-2	Minifigure, Series 23 (Complete Series of 12 Complete Minifigure Sets)
col23-1	col23 Nutcracker, Series 23
col23-4	col23 Reindeer Costume, Series 23
col23-2	col23 Sugar Fairy, Series 23
col23-5	col23 Holiday Elf, Series 23
col23-3	col23 Snowman, Series 23
col23-6	col23 Cardboard Robot, Series 23
col23-10	col23 Ferry Captain, Series 23
col23-6	col23 Cardboard Robot, Series 23
col23-10	col23 Ferry Captain, Series 23
col23-12	col23 Green Dragon Costume, Series 23
col23-5	col23 Holiday Elf, Series 23
col23-11	col23 Knight of the Yellow Castle, Series 23
col23-1	col23 Nutcracker, Series 23
col23-7	col23 Popcorn Costume, Series 23
col23-4	col23 Reindeer Costume, Series 23
col23-3	col23 Snowman, Series 23
col23-2	col23 Sugar Fairy, Series 23
col23-9	col23 Turkey Costume, Series 23
col23-8	col23 Wolf Costume, Series 23

// 71032-2	Minifigure, Series 22 (Complete Series of 12 Complete Minifigure Sets)
col22-9	col22 Birdwatcher, Series 22
col22-2	col22 Chili Costume Fan, Series 22
col22-6	col22 Figure Skating Champion, Series 22
col22-8	col22 Forest Elf, Series 22
col22-5	col22 Horse and Groom, Series 22
col22-7	col22 Night Protector, Series 22
col22-10	col22 Raccoon Costume Fan, Series 22
col22-1	col22 Robot Repair Tech, Series 22
col22-4	col22 Snow Guardian, Series 22
col22-11	col22 Space Creature, Series 22
col22-3	col22 Troubadour, Series 22
col22-12	col22 Wheelchair Racer, Series 22

// 71029-2	Minifigure, Series 21 (Complete Series of 12 Complete Minifigure Sets)
col21-9	col21 Airplane Girl, Series 21
col21-11	col21 Alien, Series 21
col21-8	col21 Ancient Warrior, Series 21
col21-7	col21 Beekeeper, Series 21
col21-12	col21 Cabaret Singer, Series 21
col21-6	col21 Centaur Warrior, Series 21
col21-4	col21 Ladybug Girl, Series 21
col21-1	col21 Paddle Surfer, Series 21
col21-5	col21 Pug Costume Guy, Series 21
col21-3	col21 Shipwreck Survivor, Series 21
col21-10	col21 Space Police Guy, Series 21
col21-2	col21 Violin Kid, Series 21

// 71025-2	 COMPLETE

// 71018-2	Minifigure, Series 17 (Complete Series of 16 Complete Minifigure Sets)
col17-10	col17 Battle Dwarf, Series 17
col17-7	col17 Butterfly Girl, Series 17
col17-2	col17 Circus Strongman, Series 17
col17-9	col17 Connoisseur, Series 17
col17-4	col17 Corn Cob Guy, Series 17
col17-14	col17 Dance Instructor, Series 17
col17-15	col17 Elf Maiden, Series 17
col17-3	col17 Gourmet Chef, Series 17
col17-6	col17 Hot Dog Vendor, Series 17
col17-1	col17 Pro Surfer, Series 17
col17-11	col17 Retro Space Hero, Series 17
col17-13	col17 Rocket Boy, Series 17
col17-8	col17 Roman Gladiator, Series 17
col17-16	col17 The Mystery Man (Highwayman), Series 17
col17-5	col17 Veterinarian, Series 17
col17-12	col17 Yuppie, Series 17

// 71012-2	Minifigure, Disney, Series 1 (Complete Series of 18 Complete Minifigure Sets)
coldis-4	coldis Aladdin, Disney, Series 1
